id,type,address,number,postal_code,municipality,province,location,public,available,hours,Latitude,Longitude
9584.0,,Beekstraat,12.0,1970.0,Wezembeek-Oppem,Vlaams-Brabant,,,,,50.8464576,4.4922235
9585.0,,Lijsterbessenbomenlaan,6.0,1950.0,Kraainem,Vlaams-Brabant,,,,,50.8619969,4.4636773
9586.0,,Witherendreef,1.0,3090.0,Overijse,Vlaams-Brabant,,,,,50.7940571,4.4841646
9587.0,,Poldedijkweg,3.0,2030.0,Antwerpen,Antwerpen,,,,,51.25696629999999,4.344867199999999
9588.0,,Poldedijkweg,3.0,2030.0,Antwerpen,Antwerpen,,,,,51.25696629999999,4.344867199999999
9589.0,,Poldedijkweg,3.0,2030.0,Antwerpen,Antwerpen,,,,,51.25696629999999,4.344867199999999
9590.0,,Arthur Dezangélaan,17.0,1950.0,Kraainem,Vlaams-Brabant,,,,,50.86178100000001,4.457452300000001
9591.0,,Parklaan,58.0,2300.0,Turnhout,Antwerpen,,,,,51.3110582,4.9457092
9592.0,,Petite Place,1.0,7382.0,Audregnies,Hainaut,,,,,50.3812448,3.7261091
9593.0,,Kruikenstraat,4.0,1620.0,Drogenbos,Vlaams-Brabant,,,,,50.7872348,4.3172707
9594.0,,Sint-Sebastiaanstraat ,14.0,1630.0,Linkebeek,Vlaams-Brabant,,,,,50.7732774,4.3350814
9595.0,,Toekomstlaan,32.0,1640.0,Rhode-Saint-Genèse,Vlaams-Brabant,,,,,50.7537211,4.3565128
9596.0,,Larmorinièrestraat,37.0,2018.0,Antwerpen,Antwerpen,,,,,51.20683890000001,4.4234258
9597.0,,Rue du travail,16.0,4460.0,Grâce-Hollogne,Liège,,Y,,,50.6571598,5.499609299999999
9598.0,,Jan Pieter De Nayerlaan ,5.0,2860.0,Sint-Katelijne-Waver,Antwerpen,,,,,51.0684635,4.498893199999999
9599.0,,Chemin de la valée,4.0,4000.0,Liège,Liège,,,,,50.63295859999999,5.569749799999999
9600.0,,Avenue de l Aviation,72.0,1150.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.8324882,4.4600515
9601.0,,Koning Albert II laan,20.0,1000.0,Brussel,Bruxelles-Brussel,,,,,50.8590771,4.3559942
9602.0,,Sportparklaan,6.0,8400.0,Oostende,West-Vlaanderen,,,,,51.2027714,2.923871
9603.0,,Rue de la Science,3.0,1400.0,Nivelles,Brabant Wallon,,,,,50.5814961,4.3521911
9604.0,,Bruggesteenweg,128.0,8755.0,Ruiselede,West-Vlaanderen,,,,,51.0871205,3.3429663
9605.0,,Rue de la Résistance ,6.0,4500.0,Huy,Liège,,,,,50.5205596,5.2440558
9606.0,,Rue Edith Cavel ,143.0,1180.0,Bruxelles,Bruxelles-Brussel,,,,,50.8065142,4.3561678
